"x"
"1","breast neoplasms"
"2","neoplasms germ cell embryonal"
"3","colorectal neoplasms"
"4","prostatic neoplasms"
"5","nasopharyngeal neoplasms"
"6","intestinal neoplasms"
"7","endometriosis"
"8","glaucoma"
"9","leukemia lymphocytic chronic b cell"
"10","mouth neoplasms"
"11","lung neoplasms"
"12","aortic aneurysm abdominal"
"13","aortic aneurysm thoracic"
"14","carcinoma basal cell"
"15","carcinoma endometrioid"
"16","carcinoma non small cell lung"
"17","carotid stenosis"
"18","coronary artery disease"
"19","coronary disease"
"20","diabetes mellitus type 1"
"21","diabetes mellitus type 2"
"22","endometrial neoplasms"
"23","gastrointestinal neoplasms"
"24","glioblastoma"
"25","glioma"
"26","intracranial aneurysm"
"27","migraine disorders"
"28","myocardial infarction"
"29","optic disk drusen"
"30","ovarian neoplasms"
"31","vascular calcification"
"32","precursor cell lymphoblastic leukemia lymphoma"
"33","scoliosis"
"34","peripheral nervous system neoplasms"
"35","cystadenocarcinoma serous"
"36","angina pectoris"
"37","cardiomyopathy dilated"
"38","depressive disorder"
"39","myocardial ischemia"
"40","beckwith wiedemann syndrome"
"41","chemical drug induced liver injury"
"42","wilms tumor"
"43","neoplasm invasiveness"
"44","silver russell syndrome"
"45","carcinoma hepatocellular"
"46","neoplasm recurrence local"
"47","stomach neoplasms"
"48","uterine cervical neoplasms"
"49","liver neoplasms"
"50","leukemia myeloid acute"
"51","neoplasm metastasis"
"52","polycystic ovary syndrome"
"53","alcoholism"
"54","influenza human"
"55","arsenic poisoning"
"56","hiv infections"
"57","skin diseases"
"58","arthritis juvenile"
"59","vestibular neuronitis"
"60","deafness"
"61","celiac disease"
"62","liver cirrhosis biliary"
"63","multiple sclerosis"
"64","autistic disorder"
"65","epilepsy"
"66","neurodevelopmental disorders"
"67","genetic diseases inborn"
"68","lennox gastaut syndrome"
"69","epilepsies myoclonic"
"70","lupus erythematosus systemic"
"71","sarcoidosis"
"72","emotional intelligence"
"73","night blindness"
"74","cell transformation neoplastic"
"75","cerebellar diseases"
"76","motor skills disorders"
"77","diabetic nephropathies"
"78","thyroid neoplasms"
"79","smith magenis syndrome"
"80","intellectual disability"
"81","carcinoma renal cell"
"82","myopia"
"83","schizophrenia"
"84","alstrom syndrome"
"85","obesity morbid"
"86","astrocytoma"
"87","nephrotic syndrome"
"88","substance related disorders"
"89","alzheimer disease"
"90","distal myopathies"
"91","amyotrophic lateral sclerosis"
"92","vocal cord paralysis"
"93","lymphoma large b cell diffuse"
"94","pancreatitis acute necrotizing"
"95","behcet syndrome"
"96","asthma"
"97","arthritis rheumatoid"
"98","immune system diseases"
"99","kallmann syndrome"
"100","charge syndrome"
"101","hypothalamic diseases"
"102","bipolar disorder"
"103","hypertrophy left ventricular"
"104","dermatitis atopic"
"105","ichthyosis vulgaris"
"106","hypersensitivity"
"107","apraxias"
"108","carcinoma adenoid cystic"
"109","language development disorders"
"110","salivary gland neoplasms"
"111","anemia sickle cell"
"112","sex education"
"113","erythroblastosis fetal"
"114","beta thalassemia"
"115","hemoglobin sc disease"
"116","cognition"
"117","precancerous conditions"
"118","insulin resistance"
"119","varicose veins"
"120","arrhythmogenic right ventricular dysplasia"
"121","glucose intolerance"
"122","colitis ulcerative"
"123","coloboma"
"124","lissencephaly"
"125","pulmonary fibrosis"
"126","adenocarcinoma"
"127","carcinoma transitional cell"
"128","cholangiocarcinoma"
"129","liver diseases parasitic"
"130","sezary syndrome"
"131","urinary bladder neoplasms"
"132","galactosemias"
"133","atrial fibrillation"
"134","fanconi anemia"
"135","neurodegenerative diseases"
"136","polycythemia"
"137","seizures"
"138","spasms infantile"
"139","short rib polydactyly syndrome"
"140","epilepsy rolandic"
"141","epilepsies partial"
"142","feeding behavior"
"143","romano ward syndrome"
"144","heart failure diastolic"
"145","gastrointestinal diseases"
"146","megalencephaly"
"147","exfoliation syndrome"
"148","breast neoplasms male"
"149","mammary neoplasms animal"
"150","muscular diseases"
"151","muscular dystrophies"
"152","ventricular remodeling"
"153","cardiomyopathy hypertrophic"
"154","melanoma"
"155","gait disorders neurologic"
"156","reflex abnormal"
"157","myopathies structural congenital"
"158","parkinson disease"
"159","heart murmurs"
"160","spinal curvatures"
"161","muscle hypotonia"
"162","anxiety disorders"
"163","asperger syndrome"
"164","hyperkinesis"
"165","microcephaly"
"166","constriction pathologic"
"167","crohn disease"
"168","narcolepsy"
"169","osteoarthritis knee"
"170","keratosis"
"171","pseudohypoaldosteronism"
"172","hypertriglyceridemic waist"
"173","angelman syndrome"
"174","prader willi syndrome"
"175","nervous system diseases"
"176","ataxia"
"177","folic acid deficiency"
"178","psoriasis"
"179","autoimmune diseases"
"180","spondylitis ankylosing"
"181","thyroid diseases"
"182","hodgkin disease"
"183","lymphoma follicular"
"184","oligodendroglioma"
"185","hand foot syndrome"
"186","anemia diamond blackfan"
"187","carcinogenesis"
"188","neoplasms"
"189","pancreatic neoplasms"
"190","carcinoma pancreatic ductal"
"191","hypoalphalipoproteinemias"
"192","tangier disease"
"193","bone diseases developmental"
"194","syndrome"
"195","digeorge syndrome"
"196","waardenburg syndrome"
"197","glomerulonephritis iga"
"198","nephrosis"
"199","hypospadias"
"200","testicular neoplasms"
"201","adenocarcinoma follicular"
"202","thyroid dysgenesis"
"203","thyroid hormone resistance syndrome"
"204","hyperglycemia"
"205","skin neoplasms"
